index,title,since
0,Je 1. září a ve školách by už mělo být všechno přichystané na návrat studentů a žáků do lavic,2023-09-01 13:06:00+02:00
1,Některá města od září zdražila hromadnou dopravou,2023-09-01 14:06:00+02:00
2,Do Řecka už dorazila další skupina zhruba padesáti českých hasičů,2023-09-01 15:06:00+02:00
3,Prezident Petr Pavel podepsal penzijní novelu,2023-09-01 16:06:00+02:00
4,Devět tříd ze 4. základní školy v Plzni zahájí školní rok v náhradních prostorech,2023-09-01 17:06:00+02:00
5,Přes Labe v Pardubicích už se klene nový železniční most,2023-09-01 18:33:30+02:00
6,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",2023-09-01 19:06:00+02:00
7,"Nejvyšší kontrolní úřad kritizuje hospodaření státu nejen kvůli tempu zadlužování, ale i vysoké inflaci a neschopnosti těžit z dobré situace na pracovním trhu",2023-09-04 13:06:00+02:00
8,Slovenští policisté odhalili mezi uprchlíky ze Sýrie dva teroristy,2023-09-04 14:06:00+02:00
9,Začal nový školní rok do tříd vyrazilo víc než milion a půl dětí,2023-09-04 15:06:00+02:00
10,Mezi exprezidenta Spojených států Donalda Trumpa a jeho účast ve volbách příští rok by se mohla postavit americká ústava,2023-09-04 16:06:00+02:00
11,"To co pro Čechy znamená japonské Nagano, to pro Jihosúdánce může znamenat Paříž",2023-09-04 17:06:00+02:00
12,"Jestli jste viděli film Oppenheimer, následující téma s ním trochu souvisí",2023-09-04 18:33:30+02:00
13,"Začal nový školní rok, do lavic podle odhadů ministerstva školství usedne zhruba jeden a půl milionu žáků a studentů",2023-09-04 19:06:00+02:00
14,Dlouhé telefonní hovory můžou zvyšovat krevní tlak,2023-09-05 13:06:00+02:00
15,O azyl v Evropské unii zažádalo jen v první polovině letošního roku přes půl milionu lidí to je o bezmála třicet procent víc než v prvních šesti měsících loňského roku,2023-09-05 14:06:00+02:00
16,"Už o tom z našeho vysílání víte poslanci se budou znovu zabývat konsolidačním balíčkem, předloha je už ve druhém čtení",2023-09-05 15:06:00+02:00
17,Severokorejský vůdce Kim Čong-un se chystá podle amerických úřadů do Ruska,2023-09-05 16:06:00+02:00
18,Jak financovat veřejnoprávní televizi a rozhlas?,2023-09-05 17:06:00+02:00
19,Do lesů v okolí severoitalského Trentina chodil oťukávat stromy i slavný houslař Antonio Stradivari,2023-09-05 18:33:30+02:00
20,V Česku jsou stále obce s nedostatečným pokrytím mobilního signálu,2023-09-05 19:06:00+02:00
21,"Jak už jste od nás slyšeli, ministr spravedlnosti podal žalobu na šéfa resortu vnitra, aby si vyjasnil kompetence",2023-09-06 13:06:00+02:00
22,"Poslanci jednají už druhý den, na programu mají druhé čtení vládního plánu úspor k tomu se ale ještě nedostali",2023-09-06 14:06:00+02:00
23,Vláda by dnes měla rozhodnout o novém řediteli Generální inspekce bezpečnostních sborů,2023-09-06 15:06:00+02:00
24,"Při bleskových povodních v Turecku, Řecku a Bulharsku zemřelo nejméně 9 lidí",2023-09-06 16:06:00+02:00
25,Britskou politickou scénou i veřejností hýbe téma odlehčeného betonu ve školních budovách,2023-09-06 17:06:00+02:00
26,"Zatímco na filmovém festivalu v Benátkách sklízí film Hranice polské režisérky Agniezsky Holland uznání, v Polsku je to jinak - tamní ministr spravedlnosti snímek přirovnal k nacistické propagandě",2023-09-06 18:33:30+02:00
27,Česko už nebude velet vojenské misi na Slovensku,2023-09-06 19:06:00+02:00
28,Na olympijských hrách v Paříži by příští rok neměla vlát ruská vlajka,2023-09-07 13:06:00+02:00
29,Teplota moří byla letos v srpnu vyšší než teplota vzduchu,2023-09-07 14:06:00+02:00
30,Slyšeli jste to ve zprávách poslanci se dál přou o jednotlivých detailech vládního plánu úspor takzvaného konsolidačního balíčku,2023-09-07 15:06:00+02:00
31,Šéf NATO Stoltenberg mluvil před europoslanci v Bruselu o ukrajinské protiofenzivě,2023-09-07 16:06:00+02:00
32,Izrael by rád uzavřel mír se Saúdskou Arábií,2023-09-07 17:06:00+02:00
33,Už 25 let funguje Česko-německý fond budoucnosti,2023-09-07 18:33:30+02:00
34,Po víc než dvou letech začala generální rekonstrukce tornádem poničné základní školy v Moravské Nové Vsi na Břeclavsku,2023-09-07 19:06:00+02:00
35,Penicilinu je dost,2023-09-08 13:06:00+02:00
36,Místo dvou středních škol by mohlo být možné hlásit se hned na tři,2023-09-08 14:06:00+02:00
37,V Berlíně dnes odpoledne začínají takzvané Slavnosti občanské společnosti na kterých bude hostující zemí Česká republika,2023-09-08 15:06:00+02:00
38,Indie od zítřka hostí summit skupiny G20,2023-09-08 16:06:00+02:00
39,"V americkém státě Georgia odtajnili zprávu Velké poroty o vyšetřování Donalda Trumpa a jeho snah nelegálně zvrátit výsledky voleb z roku 2020. O co se jedná, vám povíme ve vysílání",2023-09-08 17:06:00+02:00
40,Válka na ukrajině mění výuku rusistiky na vysokých školách,2023-09-08 18:33:30+02:00
41,"Historický význam i jedinečné urbanistické uspořádání to jsou důvody, proč ministerstvo kultury zapsalo bývalou židovskou čtvrť v Hluboké nad Vltavou na seznam kulturních památek",2023-09-08 19:06:00+02:00
42,V Marockém Marrakeši postiženém zemětřesením si turisté i po hrůzných zážitcích užívají dál dovolených,2023-09-11 13:06:00+02:00
43,"Nikdy to nevzdát, to je heslo paní Johany z Ostravy, která má autismus a dětskou mozkovou obrnu",2023-09-11 14:06:00+02:00
44,"Za poslední týden zaznamenali hygienici 900 nakažených covidem 19. I když číslo po prázdninách a dovolených mírně roste, zůstává situace pod kontrolou",2023-09-11 15:06:00+02:00
45,"Zkrácené úvazky využívají nejčastěji lidé nad 55 let nebo ti, kdo pečují o dítě",2023-09-11 16:06:00+02:00
46,Katalánský separatismus je ve Španělsku opět v centru dění,2023-09-11 17:06:00+02:00
47,Ochrana hospodářských zvířat před vlky je pro zemědělce dostupnější,2023-09-11 18:33:30+02:00
48,"Hvězda československé hudební scény, herečka i moderátorka",2023-09-11 19:06:00+02:00
49,Rž má už několik dní zvláštního zpravodaje V Maroku,2023-09-12 13:06:00+02:00
50,"Tatiana Dyková, Václav Neužil nebo Oskar Hes",2023-09-12 14:06:00+02:00
51,Ruská auta nově nesmí do Evropské unie,2023-09-12 15:06:00+02:00
52,V úvodu této hodiny Odpoledního Radiožurnálu se vydáme do sněmovny,2023-09-12 16:06:00+02:00
53,Fronty před bazilikou svatého Marka nebo davy u mostu Rialto,2023-09-12 17:06:00+02:00
54,"V loňském roce spáchalo sebevraždu víc než 1300 lidí, z toho čtyři pětiny byli muži",2023-09-12 18:33:30+02:00
55,Oběd ve škole nebo školce by měl být samozřejmostí nejen pro zdravé strávníky,2023-09-12 19:06:00+02:00
56,Francouzi dočasně zakázali prodej mobilního telefonu iphone 12. Podle tamní agentury pro radiové frekvence totiž tento model vysílá příliš silné elektromagnetické vlny,2023-09-13 13:06:00+02:00
57,Sněmovna dopoledne schválila možnost žádat o důchod i online,2023-09-13 14:06:00+02:00
58,Rusko potvrdilo poškození dvou vojenských plavidel v sevastopolském přístavu,2023-09-13 15:06:00+02:00
59,"Doma v Česku už jsou všichni čeští hasiči, kteří pomáhali likvidovat požáry v Řecku",2023-09-13 16:06:00+02:00
60,"Vyčistí zašlé nádobí, osvěží pračku, kypří bábovku a pomáhá i při pálení žáhy",2023-09-13 17:06:00+02:00
61,Neobyvklou návštěvu dnes zažila vsetínská nemocnice,2023-09-13 18:33:30+02:00
62,"Pokud máte plány na dnešní večer, vezměte si s sebou raději deštník",2023-09-13 19:06:00+02:00
63,"Pokud máte rádi hokej, máte se v nové sezóně extraligy na co těšit",2023-09-14 13:06:00+02:00
64,Za 10 měsíců začnou ve Francii olympijské hry,2023-09-14 14:06:00+02:00
65,"Zkušenosti manželek, matek nebo dcer Wagnerovců zpracovala novinářka Julia Višněvecká do divadelní hry",2023-09-14 15:06:00+02:00
66,"Dobré odpoledne, děkujeme, že posloucháte Radiožurnál",2023-09-14 16:06:00+02:00
67,Spojené státy mají nového rekordmana v setrvalé délce pobytu ve vesmíru astronauta Franka Rubia,2023-09-14 17:06:00+02:00
68,Na dnech NATO o víkendu lidé uvidí i americké stíhačky F-35 A,2023-09-14 18:33:30+02:00
69,"Roň slzy, Mně se líbí Bob nebo Tak prázdná",2023-09-14 19:06:00+02:00
70,Pěstování vinné révy se v Česku přestává vyplácet,2023-09-15 13:06:00+02:00
71,Ve více než 50 zemích světa dnes lidé prostestují na klimatických demonstracích s názvem Fridays for future,2023-09-15 14:06:00+02:00
72,Ministerstvo zemědělství v létě zrušilo dotace na rok 2023 na takzvaný welfare skotu,2023-09-15 15:06:00+02:00
73,Po včerejší předehrávce se dnes naplno rozehraje nová sezóna hokejové extraligy,2023-09-15 16:06:00+02:00
74,Vydáme na projížďku po nové cyklostezce,2023-09-15 17:06:00+02:00
75,Darovat krvetvorné buňky znamená dát nemocnému s leukémií šanci na život,2023-09-15 18:33:30+02:00
76,Pěstování vinné révy se v Česku přestává vyplácet,2023-09-15 19:06:00+02:00
77,"Bronzové sousoší Cyrila, Metoděje a jejich žáka Gorazda nově zdobí Bratislavský hrad",2023-09-18 13:06:00+02:00
78,"Skupina, která si říká ""Poslední generace"" na sebe strhává pozornost tím, že v Německu blokuje silnice a někdy i letiště",2023-09-18 14:06:00+02:00
79,Všechno to začalo policejní razií před pěti lety kriminalisté tehdy kvůli pochybným zakázkám zadrželi manažery pražské nemocnice Bulovka,2023-09-18 15:06:00+02:00
80,Bojíte se klimatických změn?,2023-09-18 16:06:00+02:00
81,"Český prezident Petr Pavel vystoupil na summitu OSN v New Yorku, Ten se věnuje udržitelnému rozvoji",2023-09-18 17:06:00+02:00
82,Davy turistů decimují japonskou ikonickou horu Fudži,2023-09-18 18:33:30+02:00
83,Do centra Chrudimi dárci dovezli desítky jízdních kol a zapojili se tak do sbírky určené pro školáky z africké Gambie,2023-09-18 19:06:00+02:00
84,Mezi najslavější české sportovce bezesporu patří také běžec Emil Zátopek,2023-09-19 13:06:00+02:00
85,V Dobříši u Příbrami začala oprava téměř 200 let starého mostu přes Pilský potok,2023-09-19 14:06:00+02:00
86,Hned deset lidí zadrželi kriminalisti při dnešních zásazích v budovách české armády,2023-09-19 15:06:00+02:00
87,"Učitelé jsou třída tak se jmenuje nový projekt, který má za úkol zvýšit prestiž učitelské profese",2023-09-19 16:06:00+02:00
88,"Finsko je letos hlavní zemí, jehož televizní tvorbu prozkoumá seriálový festival Serial Killer v Brně",2023-09-19 17:06:00+02:00
89,Na Orlickoústecku by ještě letos měla začít stavba dalšího úseku dálnice D35,2023-09-19 18:33:30+02:00
90,Prezident Petr Pavel dnes poprvé vystoupí před Valným shromážděním OSN v New Yorku,2023-09-19 19:06:00+02:00
91,"Zemědělci sklidí letos míň kukuřice, třeba na jihu Čech budou výnosy o třetinu nižší než loni",2023-09-20 13:06:00+02:00
92,"Další výjezdní zasedání vlády, další region kabinet Petra Fialy přijel do Kadaně v Ústeckém kraji",2023-09-20 14:06:00+02:00
93,Na rakovinu děložního čípku podle VFN v Praze zemře ročně v Česku asi 300 žen,2023-09-20 15:06:00+02:00
94,Britský král Karel třetí přiletěl na třídenní návštěvu Francie,2023-09-20 16:06:00+02:00
95,V Lindavě na Českolipsku dokončují trofeje pro vítěze divadelních cen Thalie,2023-09-20 17:06:00+02:00
96,Přes 13 tisíc dobrovolníků už na celém světě zkoumá kvalitu ovzduší,2023-09-20 18:33:30+02:00
97,Dohody o vině a trestu zná česká justice přes deset let,2023-09-20 19:06:00+02:00
98,Celníci letos zabavili skoro 8 a půl tisíce litrů nelegálních lihovin,2023-09-21 13:06:00+02:00
99,Ukrajina ráno zažila největší ruský raketový útok za poslední týdny,2023-09-21 14:06:00+02:00
100,"V úterý policisté zadrželi několik lidí kvůli zakázce ministerstva obrany, dnes jednoho z nich soud poslal do vazby",2023-09-21 15:06:00+02:00
101,V Otinovsi na Prostějovsku po poledni vybouchl rodinný dům,2023-09-21 16:06:00+02:00
102,Odvodňovací kanály a narovnané toky,2023-09-21 17:06:00+02:00
103,"Pražský hrad zahájuje kulturní sezónu výstavou ""Okna svatovítské katedrály""",2023-09-21 18:33:30+02:00
104,Až 400 000 lidí zemře ročně v Evropě kvůli znečištění vzduchu,2023-09-21 19:06:00+02:00
105,"Pořádek v domě, dobré vztahy se sousedy, žádné konfliktní situace",2023-09-22 13:06:00+02:00
106,První pokus koalice hlasovat o konsolidačním balíčku nevyšel,2023-09-22 14:06:00+02:00
107,Podle amerických analytiků se ukrajinské obrněnce na záporožské frontě poprvé dokázaly probít za protitankové bariéry ruských agresorů,2023-09-22 15:06:00+02:00
108,O kolik příští rok stoupnou nebo naopak nestoupnou platy státních zaměstnanců,2023-09-22 16:06:00+02:00
109,V Plzni dnes začal dvoudenní Mezinárodní knižní veletrh a literární festival Svět knihy,2023-09-22 17:06:00+02:00
110,"Kladenské divadlo se otevře divákům, včetně těch nevidomých",2023-09-22 18:33:30+02:00
111,Až třetina živnostníků ubyla za posledních 10 let v Tachově,2023-09-22 19:06:00+02:00
112,"Školy, úřady, nemocnice a další veřejné budovy budou moct získat dotace na úspory energií",2023-09-25 13:06:00+02:00
113,"Podle BIS v Česku působil ruský agent, který uplácel veřejně známé lidi, aby šířili ruskou propagandu",2023-09-25 14:06:00+02:00
114,Členské státy Evropské unie podpořily výrazné zmírnění navrhované emisní normy Euro 7. Chtějí tak chránit evropský automobilový průmysl,2023-09-25 15:06:00+02:00
115,Hollywoodští scenáristé si po pěti měsících stávkování vymohli lepší pracovní podmínky,2023-09-25 16:06:00+02:00
116,"Policie na Severu Kosova našla po včerejší přestřelce další tělo mohl by to být jeden z asi 30 ozbrojenců, kteří v noci ze soboty na neděli napadli policii ve vesnici Banjska",2023-09-25 17:06:00+02:00
117,Uplynul rok od voleb nových zastupitelů měst a obcí,2023-09-25 18:33:30+02:00
118,Stříbrné amalgámové plomby jsou plně hrazené ze zdravotního pojištění,2023-09-25 19:06:00+02:00
119,"Ochranná známka ""Pravá vamberecká krajka"" je na prodej",2023-09-26 13:06:00+02:00
120,Evropská komise podpoří Česko při rozvoji jaderné energetiky,2023-09-26 14:06:00+02:00
121,Po patnácti letech praxe 23 tisíc korun čistého za měsíc,2023-09-26 15:06:00+02:00
122,"Hnutí ANO zvažuje, že ve sněmovně vyvolá další hlasování o vyslovení nedůvěry vládě",2023-09-26 16:06:00+02:00
123,Víc než měsíc po ničivém požáru ve městě Lahaina na havajském ostrově Maui se mohou do spálených ulic vydat první obyvatelé,2023-09-26 17:06:00+02:00
124,Náhradní díly pro čtyřicet let starou jadernou elektrárnu se shání těžko,2023-09-26 18:33:30+02:00
125,Už v sobotu budou na Slovensku parlamentní volby hlasovat v nich budou i Slováci žijící v Praze,2023-09-26 19:06:00+02:00
126,Kompletním kolem dnes pokračuje hokejová extraliga,2023-09-27 13:06:00+02:00
127,Ředitelství silnic a dálnic podalo trestní oznámení na neznámého pachatele,2023-09-27 14:06:00+02:00
128,Vládní koalici se ani napodruhé nepodařilo ve sněmovně prosadit soubor plánovaných úspor,2023-09-27 15:06:00+02:00
129,V sobotu Slováci rozhodnou o dalším směřování země,2023-09-27 16:06:00+02:00
130,Čím se živil český pravěký trilobit?,2023-09-27 17:06:00+02:00
131,Ve Španělsku se ani dnes nepodařilo zvolit premiéra,2023-09-27 18:33:30+02:00
132,Cukrové panenky a jezdci na koních patří k oslavám narozenin Proroka Mohameda v Káhiře už po staletí,2023-09-27 19:06:00+02:00
133,"Dnes si připomínámě Den české státnosti, který je spojený s patronem české země svatým Václavem",2023-09-28 13:06:00+02:00
134,Jak bude od pondělka fungovat ARO a Urgentní příjem v pražské nemocnici na Bulovce?,2023-09-28 14:06:00+02:00
135,Ukrajina vydala do Česka pět podezřelých z podvodů za víc než 180 milionů korun,2023-09-28 15:06:00+02:00
136,Je Den České státnosti a Svatého Václava tak tradičně připomněla mše ve Staré Boleslavi,2023-09-28 16:06:00+02:00
137,"""Nelituj mrtvé - lituj živé a hlavně ty, kteří žijí bez lásky"" to jsou slova Albuse Brumbála, ředitele školy čar a kouzel v Bradavicích ze ságy o Harrym Potterovi",2023-09-28 17:06:00+02:00
138,V Kamenickém Šenově na Českolipsku vyhlásili veřejnou sbírku na opravu tamního sklářského muzea,2023-09-28 18:11:00+02:00
139,28,2023-09-28 19:06:00+02:00
140,"Asi to ještě nevíte, ale téměř polovina prodejen smíšeného zboží Enapo má nového majitele",2023-09-29 13:06:00+02:00
141,V americké Sněmovně reprezentantů vypovídali první svědci v procesu impeachmentu prezidenta Joea Bidena,2023-09-29 14:06:00+02:00
142,Policisté v Moravskoslezském kraji zpřísnili namátkové kontroly na hranicích se Slovenskem,2023-09-29 15:06:00+02:00
143,Stovky Slováků dnes odjely z Prahy mimořádným vlakem na Slovensko,2023-09-29 16:06:00+02:00
144,"Duchové bývalých přítelkyň, náhodná svatební kapela z hotelu v Palm Springs nebo intimní zpovědi o hledání vlastní identity",2023-09-29 17:06:00+02:00
145,"Lidé s nízkým příjmem mají v Liberci problém sehnat byt, na který by finančně dosáhli",2023-09-29 18:33:30+02:00
146,Přesně před osmdesáti pěty lety se svět přiblížil druhé světové válce,2023-09-29 19:06:00+02:00
